Column Name,Data Type,Meaning,Business Importance,
Row ID,int64,Unique row identifier,Indexing purpose only,
Order ID,str,Unique order transaction ID,Track and group transactions,
Order Date,str,Date when order was placed,Time-based sales analysis,
Ship Date,str,Date when order was shipped,Measure delivery performance,
Ship Mode,str,Shipping method used,Analyze shipping preferences,
Customer ID,str,Unique customer identifier,Customer-level analysis,
Customer Name,str,Customer full name,Identification purpose only,
Segment,str,Customer segment category,Segment revenue comparison,
Country,str,Country of customer,Geographic expansion analysis,
City,str,City of customer,City-level performance tracking,
State,str,State of customer,State-level revenue analysis,
Postal Code,float64,Postal/ZIP code,Geographic mapping support,
Region,str,Geographical region,Regional performance comparison,
Product ID,str,Unique product identifier,Product tracking and analysis,
Category,str,High-level product category,Category-level business strategy,
Sub-Category,str,Detailed product sub-category,Detailed product performance,
Product Name,str,Full product description,Top product identification,
Sales,float64,Revenue from the transaction,Core revenue metric for business analysis,
